state,Obama,Romney,Pollster,days.until
FL,48,47,Grove Insight (D-Project New America/USAction),10
FL,49,48,PPP (D),11
FL,49,50,CNN,11
FL,48,47,Quinnipiac/NYT/CBS,11
FL,47,47,SurveyUSA,12
FL,49,47,Mellman (D-Americans United for Change),12
FL,48,50,Rasmussen,14
FL,49,50,Gravis Marketing,15
FL,47,45,Grove Insight (D-Project New America/USAction),15
FL,46,51,Sunshine State News/VSS,15
FL,47,47,Mellman (D-Americans United for Change),18
FL,46,51,Angus-Reid,19
FL,46,51,Rasmussen,21
FL,48,45,Grove Insight (D-Project New America),21
FL,48,49,CNN,21
FL,47,48,PPP (D)/WPTV/FL Democracy/TCPalm,21
FL,45,48,FOX,21
FL,47,46,SurveyUSA,21
FL,48,42,JZ Analytics/Newsmax,21
FL,48,49,Gravis Marketing,25
FL,48,49,PPP (D),25
FL,47,51,Rasmussen,28
FL,46,49,ARG,28
FL,48,47,YouGov,28
FL,44,51,Mason-Dixon,29
FL,48,47,NBC/WSJ/Marist,30
FL,49,45,UNF,30
FL,47,49,Rasmussen,35
FL,46,49,We Ask America,35
FL,47,46,NBC/WSJ/Marist,38
FL,49,48,Gravis Marketing,39
FL,46,43,Suffolk,39
FL,49,46,InsiderAdvantage/Florida Times-Union,45
FL,53,44,Quinnipiac/NYT/CBS,45
FL,50,46,PPP (D),46
FL,51,47,Washington Post,46
FL,50,45,ARG,47
FL,48,47,Mason-Dixon,50
FL,47,48,Purple Strategies,50
FL,49,46,We Ask America,51
FL,49,44,FOX,51
FL,47,48,Gravis Marketing,53
FL,49,47,YouGov,55
FL,48,46,Rasmussen,57
FL,44,48,Caddell/McLaughlin (R)/Secure America Now,57
FL,49,44,NBC/WSJ/Marist,58
FL,42,42,Consensus Communications (R),58
FL,47,50,McLaughlin (R)/AIF,59
FL,48,44,SurveyUSA,60
FL,47,48,Gravis Marketing,67
FL,48,47,PPP (D),67
FL,50,46,CNN/Time/ORC,74
FL,49,46,Quinnipiac/NYT/CBS,79
FL,45,48,Gravis Marketing,80
FL,43,45,Rasmussen,85
FL,47,48,Purple Strategies,86
FL,51,45,Quinnipiac/NYT/CBS,101
FL,48,47,PPP (D),102
FL,48,43,SurveyUSA,112
FL,45,48,Purple Strategies,118
FL,46,45,Mason-Dixon,120
FL,45,46,Rasmussen,122
FL,48,44,Garin-Hart-Yang (D-Priorities USA),128
FL,46,45,We Ask America,129
FL,45,41,Quinnipiac,136
FL,46,42,Quinnipiac,143
FL,45,49,Purple Strategies,156
FL,50,46,PPP (D),158
FL,41,47,Quinnipiac,171
FL,48,44,NBC/Marist,172
FL,46,45,Suffolk,184
FL,43,44,Quinnipiac,191
FL,45,46,Rasmussen,197
FL,45,47,Purple Strategies,199
FL,45,43,FOX,205
FL,50,45,PPP (D),207
FL,49,42,Quinnipiac,227
FL,46,43,Rasmussen,240
FL,47,44,Rasmussen,273
FL,49,41,Marist College,286
FL,44,48,Mason-Dixon,287
FL,42,47,Suffolk,289
FL,45,45,Quinnipiac,290
FL,46,45,Tarrance (R-Walker),295
FL,43,46,Quinnipiac,305
FL,48,41,Marist College,337
FL,42,45,Quinnipiac,339
FL,45,44,PPP (D),343
FL,42,46,Rasmussen,357
FL,42,45,Quinnipiac,367
FL,45,43,Marist College,393
FL,47,43,PPP (D),508
FL,42,43,Suffolk,576
FL,43,48,Mason-Dixon,581
FL,46,44,PPP (D),592
GA,44,52,YouGov,5
GA,46,52,20/20 Insight (D-Better Georgia),8
GA,44,52,SurveyUSA,11
GA,43,51,Abt SRBI Inc/Atlanta Journal-Constitution,28
GA,44,52,YouGov,28
GA,35,56,InsiderAdvantage/Fox 5 Atlanta,51
GA,44,51,YouGov,55
GA,46,49,20/20 Insight (D-Better Georgia),82
GA,40,52,InsiderAdvantage,170
GA,40,51,Landmark/Rosetta Stone,182
GA,42,49,SurveyUSA,256
GA,43,51,SurveyUSA,280
GA,38,55,Mason-Dixon,330
GA,42,49,SurveyUSA,337
HI,61,34,Honolulu Civil Beat/Merriman,13
HI,62,30,Honolulu Civil Beat/Merriman,41
HI,59,32,DailyKos.com/PPP (D),389
ID,27,63,Mason-Dixon/Idaho Statesman,29
IL,57,38,YouGov,5
IL,57,41,We Ask America,9
IL,58,38,YouGov,28
IL,55,36,Chicago Tribune/WGN,31
IL,59,36,YouGov,55
IL,47,34,Southern Illinois U,59
IL,54,37,We Ask America,64
IL,55,29,Ipsos/Crain's Business Journal,77
IL,51,31,Ipsos/Crain's Business Journal,109
IL,56,35,Chicago Tribune,276
IN,44,51,YouGov,5
IN,43,52,Rasmussen,7
IN,41,54,McLaughlin (R-Mourdock),7
IN,39,57,McLaughlin (R-Mourdock),9
IN,41,55,McLaughlin (R-Mourdock),14
IN,41,54,Rasmussen,28
IN,41,53,YouGov,28
IN,40,52,Howey-Depauw,46
IN,45,50,YouGov,55
IN,41,47,Global Strategy Group (D-Donnelly),57
IN,35,51,Rasmussen,99
IN,42,48,Rasmussen,168
IN,40,49,Howey-Depauw,225
IA,50,48,PPP (D),4
IA,48,49,ARG,4
IA,48,47,YouGov,5
IA,47,42,Des Moines Register/Selzer,6
IA,49,45,Gravis Marketing,7
IA,46,44,Mellman (D-Americans United for Change),7
IA,48,49,Rasmussen,9
IA,49,47,We Ask America,9
IA,50,45,PPP (D-Health Care for America Now),9
IA,50,44,NBC/WSJ/Marist,10
IA,44,45,U of Iowa,12
IA,50,46,Gravis Marketing,15
IA,49,47,PPP (D-Health Care for America Now),15
IA,48,48,Rasmussen,18
IA,49,48,PPP (D-Health Care for America Now),20
IA,48,49,PPP (D),20
IA,51,43,NBC/WSJ/Marist,22
IA,49,46,We Ask America,24
IA,48,48,ARG,25
IA,50,46,YouGov,28
IA,49,47,Rasmussen,32
IA,48,44,We Ask America,42
IA,51,44,PPP (D),43
IA,49,45,Des Moines Register/Selzer,43
IA,46,47,Voter/Consumer Research (R-The Iowa Republican),44
IA,51,44,ARG,46
IA,44,47,Rasmussen,50
IA,50,42,NBC/WSJ/Marist,51
IA,48,43,YouGov,55
IA,47,45,PPP (D),74
IA,44,46,Rasmussen,92
IA,48,43,PPP (D),116
IA,45,44,We Ask America,143
IA,46,47,Rasmussen,150
IA,44,44,NBC/Marist,168
IA,51,41,PPP (D),186
IA,44,46,Des Moines Register/Selzer,267
IA,42,43,U of Iowa,337
IA,46,39,Marist College,345
IA,46,42,PPP (D),395
IA,43,40,Marist College,400
KS,39,48,SurveyUSA,353
KS,31,56,SurveyUSA,364
KY,39,53,SurveyUSA/The Courier-Journal,56
KY,40,48,PPP (D),438
LA,36,59,Magellan (R),35
LA,37,50,JZ Analytics,39
LA,39,45,Southern Media/Opinion Research,49
ME,53,42,MPRC,5
ME,55,42,PPP (D),6
ME,49,42,Critical Insights,8
ME,48,44,NMB (R-American Crossroads),31
ME,51,37,Pan Atlantic SMS Group,41
ME,52,40,Rasmussen,44
ME,55,39,PPP (D),51
ME,54,37,MPRC/Maine People's Alliance (D),52
ME,52,36,Critical Insights,53
ME,49,35,Critical Insights,136
ME,48,34,MassINC,147
ME,50,42,Critical Insights,185
ME,55,37,MPRC,220
ME,58,35,PPP (D),249
ME,49,38,PPP (D),374
ME,41,40,Critical Insights,382
MD,59,37,YouGov,5
MD,55,36,Baltimore Sun/OpinionWorks,16
MD,60,36,Washington Post,24
MD,58,37,YouGov,28
MD,57,34,Baltimore Sun/OpinionWorks,42
MD,55,36,Gonzales Research,46
MD,57,37,YouGov,55
MD,58,35,PPP (D)/Marylanders for Marriage Equality,171
MA,57,37,UMass Lowell/Herald,5
MA,57,37,YouGov,5
MA,57,42,PPP (D),6
MA,58,40,WNEU/MassLive.com,7
MA,63,31,Suffolk,11
MA,52,38,Boston Globe/UNH,11
MA,59,40,Rasmussen,14
MA,56,36,MassINC/WBUR,17
MA,55,39,Kimball Political Consulting (R),18
MA,57,39,PPP (D-LCV),23
MA,55,41,PPP (D),28
MA,55,36,YouGov,28
MA,57,42,Rasmussen,29
MA,55,34,UMass Amherst/YouGov,31
MA,52,36,MassINC/WBUR,32
MA,60,34,Mass Insight/Opinion Dynamics,39
MA,57,30,Boston Globe/UNH,42
MA,55,40,Rasmussen,45
MA,60,36,UMass Lowell/Herald,52
MA,57,39,PPP (D),53
MA,64,31,Suffolk,53
MA,55,39,YouGov,55
MA,60,38,WNEU/MassLive.com,56
MA,56,40,Kimball Political Consulting (R),60
MA,52,41,Kimball Political Consulting (R),79
MA,55,39,PPP (D),81
MA,55,39,PPP (D),137
MA,56,34,WNEU/MassLive.com,161
MA,46,34,Boston Globe/UNH,161
MA,59,34,Suffolk,170
MA,56,35,Rasmussen,185
MA,51,40,Rasmussen,213
MA,49,33,Boston Globe/UNH,226
MA,58,35,PPP (D),235
MA,60,36,WNEU,252
MA,55,38,Rasmussen,253
MA,53,39,Suffolk,267
MA,55,34,MassINC,273
MA,53,35,Mass Insight/Opinion Dynamics,278
MA,49,34,YouGov/Polimetrix,352
MA,52,43,PPP (D),708
MI,51,46,Mitchell Research,4
MI,52,47,Angus-Reid,5
MI,52,46,PPP (D),5
MI,51,44,YouGov,5
MI,46,47,FMWB (D),6
MI,52,47,Rasmussen,7
MI,48,41,Grove Insight (D-Project New America/USAction),7
MI,52,46,PPP (D-LCV),7
MI,53,45,PPP (D-Health Care for America Now),8
MI,48,45,Glengariff Group ,10
MI,48,42,EPIC-MRA,10
MI,47,47,FMWB (D),16
MI,52,43,Angus-Reid,19
MI,52,46,EPIC-MRA,22
MI,52,45,Rasmussen,28
MI,52,42,YouGov,28
MI,44,41," Denno/ Lambert, Edwards & Associates",29
MI,49,42,Glengariff Group ,31
MI,46,44,Gravis Marketing,31
MI,48,45,EPIC-MRA,33
MI,49,46,FMWB (D),34
MI,52,40,We Ask America,42
MI,50,46,Gravis Marketing,47
MI,54,42,Rasmussen,49
MI,51,42,PPP (D)/NRDC,50
MI,52,44,CNN,51
MI,52,38,Glengariff Group ,52
MI,48,42,Marketing Resource Group (R),55
MI,51,42,YouGov,55
MI,45,44,FMWB (D),57
MI,47,37,EPIC-MRA,58
MI,51,44,PPP (D),67
MI,49,46,EPIC-MRA,72
MI,47,47,Mitchell Research,77
MI,48,42,Glengariff Group ,80
MI,44,48,FMWB (D),84
MI,49,44,Mitchell Research,87
MI,48,42,EPIC-MRA,100
MI,44,45,Mitchell Research,108
MI,48,42,Rasmussen,108
MI,53,39,PPP (D),108
MI,47,43,NBC/Marist,136
MI,47,46,Mitchell Research,143
MI,43,45,We Ask America,143
MI,50,42,Rasmussen,147
MI,47,45,FMWB (D),149
MI,45,46,EPIC-MRA,156
MI,53,39,PPP (D),165
MI,45,40,Glengariff Group ,181
MI,47,43,EPIC-MRA,219
MI,49,42,Marketing Resource Group (R),234
MI,51,33,NBC/Marist,262
MI,54,38,PPP (D),270
MI,48,40,EPIC-MRA,288
MI,41,46,EPIC-MRA,358
MI,50,39,SurveyUSA,391
MI,47,43,PPP (D),703
MN,53,45,PPP (D),5
MN,52,41,SurveyUSA,5
MN,50,43,YouGov,5
MN,53,44,PPP (D-LCV),7
MN,45,46,NMB (R-American Future Fund),8
MN,50,43,SurveyUSA,11
MN,47,44,The Star Tribune Minnesota Poll/Mason-Dixon,14
MN,51,46,Rasmussen,18
MN,53,45,St. Cloud St,18
MN,50,40,SurveyUSA,25
MN,52,44,YouGov,28
MN,47,43,NMB (R-American Future Fund),31
MN,53,43,PPP (D),31
MN,48,40,The Star Tribune Minnesota Poll/Mason-Dixon,50
MN,50,42,YouGov,55
MN,51,44,PPP (D),58
MN,50,40,SurveyUSA,60
MN,46,40,SurveyUSA,112
MN,54,39,PPP (D),158
MN,52,38,SurveyUSA,182
MN,49,36,SurveyUSA,280
MN,51,41,PPP (D),291
MN,45,39,SurveyUSA,368
MN,45,39,St. Cloud St/Minnpost,379
MS,36,54,PPP (D),368
MS,40,46,PPP (D),592
MO,45,53,PPP (D),5
MO,42,53,YouGov,5
MO,43,50,SurveyUSA,5
MO,42,54,We Ask America,9
MO,41,54,Mason-Dixon,14
MO,46,52,PPP (D),18
MO,43,54,Rasmussen,22
MO,41,55,Wenzel Strategies (R),26
MO,42,52,YouGov,28
MO,45,51,PPP (D),36
MO,46,49,Rasmussen,37
MO,40,50,Wenzel Strategies (R-Akin),38
MO,45,48,We Ask America,42
MO,44,50,Chilenski Strategies/Missouri Scout,49
MO,43,50,YouGov,55
MO,45,48,Rasmussen,58
MO,38,57,Wenzel Strategies (R-Citizens United),58
MO,41,53,PPP (D),71
MO,36,53,Gravis Marketing,77
MO,43,50,Mason-Dixon,77
MO,47,46,Rasmussen,78
MO,42,52,PPP (D),80
MO,44,45,SurveyUSA,88
MO,47,48,Chilenski Strategies/Missouri Scout,92
MO,44,50,Rasmussen,101
MO,42,51,Mason-Dixon,106
MO,40,49,We Ask America,107
MO,42,49,Rasmussen,154
MO,45,44,PPP (D),165
MO,45,48,Rasmussen,205
MO,41,50,Rasmussen,238
MO,45,45,PPP (D),284
MO,42,45,Rasmussen,365
MO,43,45,PPP (D),557
MO,43,44,PPP (D),613
MO,41,47,PPP (D),708
MT,45,52,PPP (D),5
MT,43,53,The Lee Newspapers Poll/Mason-Dixon,8
MT,43,53,Rasmussen,10
MT,43,53,PPP (D-LCV),23
MT,45,53,Rasmussen,25
MT,41,52,PPP (D),29
MT,35,49,MSU-Billings,39
MT,44,48,Mellman (D-Montana JET PAC),43
MT,42,51,The Lee Newspapers Poll/Mason-Dixon,50
MT,45,50,PPP (D),58
MT,38,55,Rasmussen,80
MT,42,51,Rasmussen,143
MT,44,51,Rasmussen,190
MT,43,48,PPP (D),193
MT,40,49,Rasmussen,220
MT,41,48,Rasmussen,260
MT,40,50,PPP (D),344
MT,39,50,PPP (D),726
NE,41,54,We Ask America,7
NE,38,52,Wiese/Omaha World-Herald,14
NE,39,53,Wiese/Omaha World-Herald,49
NE,39,53,Rasmussen,176
NE,39,51,PPP (D),228
NE,35,52,Rasmussen,248
NE,38,51,PPP (D),403
NV,51,47,PPP (D),4
NV,49,45,YouGov,5
NV,50,44,Mellman (D-Americans United for Change),8
NV,50,46,SurveyUSA,10
NV,49,43,Grove Insight (D-Project New America/USAction),11
NV,50,49,Gravis Marketing,15
NV,50,47,NBC/WSJ/Marist,15
NV,51,47,PPP (D),15
NV,50,48,Rasmussen,16
NV,49,47,ARG,17
NV,51,43,Mellman (D-Americans United for Change),22
NV,50,43,Grove Insight (D-Project New America),23
NV,50,47,Rasmussen,24
NV,48,45,SurveyUSA,24
NV,50,45,YouGov,28
NV,51,47,PPP (D),29
NV,47,45,Suffolk/KSNV,30
NV,47,47,Rasmussen,31
NV,47,46,SurveyUSA,31
NV,49,48,Gravis Marketing,36
NV,53,42,We Ask America,42
NV,49,47,NBC/WSJ/Marist,44
NV,51,44,ARG,46
NV,46,46,POS (R),49
NV,52,43,PPP (D-League of Conservation Voters),49
NV,47,45,Rasmussen,51
NV,49,46,CNN,51
NV,51,44,YouGov,55
NV,50,47,PPP (D),74
NV,47,45,SurveyUSA,79
NV,50,45,Rasmussen,107
NV,49,43,We Ask America,113
NV,50,46,Magellan (R),114
NV,48,42,PPP (D),151
NV,48,46,NBC/Marist,168
NV,52,44,Rasmussen,192
NV,51,43,PPP (D),221
NV,50,44,Rasmussen,234
NV,46,40,Las Vegas Review-Journal/UNLV,324
NV,46,46,PPP (D),382
NV,43,46,PPP (D),564
NV,47,46,PPP (D),673
NH,50,48,Rasmussen,4
NH,50,46,New England College,4
NH,50,48,PPP (D),4
NH,49,49,ARG,4
NH,50,46,UNH/WMUR,4
NH,47,43,YouGov,5
NH,48,48,UNH/WMUR,6
NH,50,49,Gravis Marketing,7
NH,50,44,New England College,8
NH,49,47,NBC/WSJ/Marist,10
NH,49,47,PPP (D),11
NH,47,42,Lake Research (D-USAction),11
NH,47,44,Grove Insight (D-Project New America),14
NH,49,46,New England College,14
NH,48,50,Rasmussen,16
NH,47,49,ARG,17
NH,48,45,Lake Research (D-USAction),17
NH,51,42,UNH,18
NH,48,49,PPP (D),20
NH,50,49,Rasmussen,24
NH,47,47,Suffolk,25
NH,46,50,ARG,28
NH,48,48,Rasmussen,30
NH,50,44,UNH/WMUR,33
NH,54,39,UNH/WMUR,39
NH,50,45,ARG,42
NH,51,44,PPP (D-Progressive Change Campaign Committee),44
NH,51,44,NBC/WSJ/Marist,44
NH,52,45,GQR (D-New Hampshire Democratic Party),50
NH,45,48,Rasmussen,51
NH,48,47,ARG,52
NH,48,42,YouGov,55
NH,45,40,UNH/WMUR,59
NH,51,45,PPP (D),88
NH,49,46,UNH/WMUR,88
NH,50,44,PPP (D-Democracy for America),92
NH,49,45,UNH/WMUR,116
NH,45,45,NBC/Marist,136
NH,49,46,ARG,137
NH,48,43,Rasmussen,141
NH,53,41,PPP (D),179
NH,51,42,UNH/WMUR,202
NH,42,44,Dartmouth,217
NH,48,41,ARG,235
NH,50,40,UNH/WMUR,280
NH,43,46,Marist College,344
NH,44,47,UNH/WMUR,354
NH,40,50,Bloomberg,362
NH,41,52,Mason-Dixon,399
NH,42,50,UNH/WMUR,399
NH,40,49,Marist College,400
NH,43,47,UNH/WMUR,496
NH,43,50,UNH,562
NJ,53,41,YouGov,5
NJ,51,41,Philadelphia Inquirer/National Research (R)/GSG (D),14
NJ,54,40,SurveyUSA,21
NJ,53,38,Stockton,21
NJ,48,41,Neighborhood (R-AFP),25
NJ,51,43,Quinnipiac,25
NJ,54,41,YouGov,28
NJ,51,40,Philadelphia Inquirer/National Research (R)/GSG (D),31
NJ,56,39,Rutgers-Eagleton,39
NJ,52,37,Monmouth University/Asbury Park Press,46
NJ,52,40,YouGov,55
NJ,51,37,Philadelphia Inquirer/National Research (R)/GSG (D),57
NJ,52,38,Fairleigh Dickinson,57
NJ,51,44,Quinnipiac,67
NJ,51,37,Rutgers-Eagleton,75
NJ,49,36,Fairleigh Dickinson,102
NJ,50,42,Monmouth University/Asbury Park Press,109
NJ,49,38,Quinnipiac,116
NJ,56,33,Rutgers-Eagleton,157
NJ,49,39,Quinnipiac,178
NJ,50,36,Fairleigh Dickinson,186
NJ,49,40,Quinnipiac,213
NJ,50,37,Fairleigh Dickinson,242
NJ,49,39,Quinnipiac,255
NJ,52,38,SurveyUSA,256
NJ,56,31,Rutgers-Eagleton,271
NJ,48,38,Quinnipiac,297
NJ,51,32,Rutgers-Eagleton,326
NJ,49,40,Quinnipiac,360
NJ,47,41,Quinnipiac,395
NJ,52,37,PPP (D),669
NM,49,43,YouGov,5
NM,49,41,POS (R-Wilson),8
NM,47,42,POS (R-Wilson),17
NM,49,39,Albuquerque Journal,29
NM,54,43,Rasmussen,31
NM,52,43,PPP (D-League of Conservation Voters),36
NM,51,40,Rasmussen,42
NM,47,40,POS (R-Wilson),42
NM,51,41,We Ask America,42
NM,52,43,PPP (D)/NRDC,49
NM,51,43,YouGov,55
NM,53,42,PPP (D-League of Conservation Voters),60
NM,45,40,Albuquerque Journal,63
NM,52,38,Rasmussen,79
NM,49,44,PPP (D),115
NM,48,35,FMMMA (D),171
NM,48,35,PPP (D),200
NM,52,36,Rasmussen,219
NM,55,36,Rasmussen,268
NM,53,38,PPP (D),332
NM,53,37,PPP (D),641
NY,59,36,YouGov,5
NY,62,33,SurveyUSA,14
NY,59,35,Siena,15
NY,61,35,Marist,18
NY,59,35,YouGov,28
NY,58,36,YouGov,55
NY,62,34,Quinnipiac,57
NY,62,33,Siena,81
NY,55,32,Quinnipiac,108
NY,61,34,Siena,116
NY,59,35,Siena,155
NY,56,31,Quinnipiac,164
NY,57,37,Siena,182
NY,57,35,Marist,210
NY,60,35,Siena,218
NY,56,33,Quinnipiac,220
NY,60,34,Siena,253
NY,52,35,Quinnipiac,269
NY,63,31,Siena,281
NY,58,35,Marist,294
NY,59,34,Siena,361
NY,59,35,Marist,378
NY,55,37,Siena,393
NC,46,50,Gravis Marketing,4
NC,49,49,PPP (D),4
NC,47,49,YouGov,5
NC,49,49,PPP (D),8
NC,45,46,High Point University,9
NC,45,50,SurveyUSA,10
NC,45,45,Elon,13
NC,46,52,Rasmussen,14
NC,48,48,PPP (D),14
NC,45,53,Gravis Marketing,15
NC,47,44,Grove Insight (D-Project New America),15
NC,47,48,Civitas (R) / National Research (R),18
NC,47,44,Grove Insight (D-Project New America),21
NC,46,52,Rasmussen,22
NC,47,49,PPP (D),25
NC,45,49,Tel Opinion Research (R-North Carolina Republican Party),26
NC,48,49,YouGov,28
NC,46,45,High Point University/UNC,29
NC,48,51,Rasmussen,30
NC,41,50,Gravis Marketing,31
NC,47,51,Rasmussen,37
NC,49,47,SurveyUSA,38
NC,46,50,ARG,39
NC,48,48,PPP (D),39
NC,48,46,NBC/WSJ/Marist,44
NC,49,45,Civitas (R) / National Research (R),50
NC,48,46,Purple Strategies,50
NC,46,43,High Point University/Fox 8,51
NC,46,48,YouGov,55
NC,45,51,Rasmussen,56
NC,49,48,PPP (D),60
NC,43,53,Civitas (R) / SurveyUSA,63
NC,48,48,PPP (D),67
NC,43,46,High Point University/SurveyUSA,70
NC,43,47,Elon,70
NC,47,48,CNN/Time/ORC,74
NC,43,43,High Point University/SurveyUSA,77
NC,49,46,PPP (D),95
NC,44,49,Rasmussen,99
NC,48,49,Civitas (R) / National Research (R),113
NC,47,46,PPP (D),123
NC,48,49,Project New America/Myers (D),123
NC,45,50,Civitas (R) / SurveyUSA,130
NC,44,47,Rasmussen,136
NC,46,44,NBC/Marist,136
NC,46,48,PPP (D),151
NC,44,45,SurveyUSA,171
NC,45,47,Civitas (R) / National Research (R),172
NC,43,51,Rasmussen,178
NC,48,47,PPP (D),179
NC,47,43,SurveyUSA,192
NC,44,46,Rasmussen,212
NC,49,44,PPP (D),215
NC,49,46,PPP (D),242
NC,47,46,PPP (D),277
NC,39,48,Civitas (R) / National Research (R),302
NC,46,45,PPP (D),305
NC,46,46,PPP (D),340
NC,45,46,PPP (D),374
NC,46,45,PPP (D),402
NC,46,43,PPP (D),459
NC,45,44,PPP (D),516
