state.name,date,pollster,grade,samplesize,population,clinton,trump,state,days_until,
Michigan,11/4/16,SurveyMonkey,C-,3145,lv,44,42,MI,4,
North Carolina,11/2/16,Gravis Marketing,B-,1250,rv,46,45,NC,6,
Missouri,11/4/16,Emerson College,B,750,lv,40.5,46.5,MO,4,
Ohio,11/4/16,SurveyMonkey,C-,2860,lv,42,45,OH,4,
Pennsylvania,11/4/16,SurveyMonkey,C-,2845,lv,46,43,PA,4,
Pennsylvania,10/29/16,CNN/Opinion Research Corp.,A-,799,lv,48,44,PA,10,
Colorado,11/4/16,SurveyMonkey,C-,2777,lv,43,40,CO,4,
New Mexico,11/1/16,Gravis Marketing,B-,1327,rv,45,37,NM,7,
California,11/4/16,SurveyMonkey,C-,2712,lv,56,31,CA,4,
Nevada,10/29/16,CNN/Opinion Research Corp.,A-,790,lv,43,49,NV,10,
Arizona,11/4/16,SurveyMonkey,C-,2609,lv,45,42,AZ,4,
Georgia,11/6/16,Trafalgar Group,C,1250,lv,45.11,51.58,GA,2,
Arizona,10/29/16,CNN/Opinion Research Corp.,A-,769,lv,44,49,AZ,10,
New Hampshire,10/31/16,Public Policy Polling,B+,781,lv,48,43,NH,8,
Georgia,11/4/16,SurveyMonkey,C-,2419,lv,45,45,GA,4,
Michigan,11/6/16,Trafalgar Group,C,1200,lv,46.82,48.52,MI,2,
Florida,10/29/16,CNN/Opinion Research Corp.,A-,773,lv,49,47,FL,10,
Utah,10/30/16,Gravis Marketing,B-,1424,rv,29,35,UT,9,
Wisconsin,11/4/16,SurveyMonkey,C-,2246,lv,44,42,WI,4,
Virginia,11/4/16,SurveyMonkey,C-,2183,lv,49,41,VA,4,
Florida,11/1/16,Gravis Marketing,B-,1220,rv,46,45,FL,7,
New York,11/4/16,SurveyMonkey,C-,2208,lv,57,32,NY,4,
North Carolina,10/29/16,SurveyUSA,A,659,lv,44,51,NC,10,
Michigan,11/2/16,Gravis Marketing,B-,1079,rv,46,41,MI,6,
Florida,11/6/16,Trafalgar Group,C,1100,lv,46.13,49.72,FL,2,
North Carolina,10/25/16,Marist College,A,780,lv,47,41,NC,14,
Florida,10/26/16,Siena College,A,815,lv,42,46,FL,13,
Utah,11/4/16,Trafalgar Group,C,1350,lv,29.52,39.95,UT,4,
Florida,10/25/16,Marist College,A,779,lv,45,44,FL,14,
Illinois,11/4/16,SurveyMonkey,C-,1823,lv,52,35,IL,4,
Iowa,11/1/16,RABA Research,C+,1076,lv,41,44,IA,7,
Pennsylvania,11/4/16,Trafalgar Group,C,1300,lv,46.51,48.43,PA,4,
Iowa,11/4/16,SurveyMonkey,C-,1781,lv,38,47,IA,4,
Indiana,11/4/16,SurveyMonkey,C-,1700,lv,35,52,IN,4,
South Carolina,11/4/16,SurveyMonkey,C-,1698,lv,43,47,SC,4,
Florida,10/22/16,Selzer & Company,A+,805,lv,43,45,FL,17,
Nevada,10/31/16,Public Policy Polling,B+,688,lv,48,45,NV,8,
Michigan,11/2/16,EPIC-MRA,A-,600,lv,42,38,MI,6,
Oregon,11/4/16,SurveyMonkey,C-,1595,lv,50,35,OR,4,
Pennsylvania,10/24/16,Siena College,A,824,lv,46,39,PA,15,
Nevada,11/4/16,Emerson College,B,600,lv,46.8,45.6,NV,4,
Missouri,10/27/16,BK Strategies,,1698,lv,39,53,MO,12,
Utah,11/4/16,SurveyMonkey,C-,1479,lv,31,34,UT,4,
New Hampshire,11/1/16,Gravis Marketing,B-,1001,rv,41,43,NH,7,
California,10/18/16,Public Policy Institute of California,A,1024,lv,54,28,CA,21,
Ohio,10/31/16,Columbus Dispatch,C+,1151,lv,48,47,OH,8,
Tennessee,11/4/16,SurveyMonkey,C-,1433,lv,41,49,TN,4,
Washington,11/4/16,SurveyMonkey,C-,1451,lv,51,33,WA,4,
Colorado,10/27/16,YouGov,B,997,lv,42,39,CO,12,
Arizona,10/27/16,YouGov,B,994,lv,42,44,AZ,12,
Iowa,11/2/16,Emerson College,B,700,lv,41,44,IA,6,
North Carolina,10/27/16,YouGov,B,992,lv,48,45,NC,12,
Connecticut,11/4/16,SurveyMonkey,C-,1387,lv,52,36,CT,4,
Massachusetts,11/4/16,SurveyMonkey,C-,1378,lv,56,30,MA,4,
New Jersey,11/4/16,SurveyMonkey,C-,1377,lv,52,37,NJ,4,
Colorado,11/2/16,"Keating Research, Inc.",B,605,lv,43,38,CO,6,
Missouri,11/4/16,SurveyMonkey,C-,1368,lv,40,48,MO,4,
Kansas,10/28/16,SurveyUSA,A,624,lv,38,49,KS,11,
Kentucky,11/4/16,SurveyMonkey,C-,1315,lv,35,54,KY,4,
Kansas,11/4/16,SurveyMonkey,C-,1311,lv,36,49,KS,4,
Minnesota,11/4/16,SurveyMonkey,C-,1292,lv,46,39,MN,4,
Florida,11/5/16,Opinion Savvy/InsiderAdvantage,C-,843,lv,48.4,46.4,FL,3,
Oklahoma,11/4/16,SurveyMonkey,C-,1271,lv,32,57,OK,4,
New Mexico,11/2/16,"Research & Polling, Inc.",A,504,lv,45,40,NM,6,
Nevada,11/2/16,Trafalgar Group,C,1100,lv,45.01,49.61,NV,6,
Texas,11/1/16,Emerson College,B,700,lv,34.5,49.2,TX,7,
Pennsylvania,10/29/16,Quinnipiac University,A-,612,lv,48,43,PA,10,
Maryland,11/4/16,SurveyMonkey,C-,1216,lv,59,28,MD,4,
Nevada,11/4/16,SurveyMonkey,C-,1207,lv,45,43,NV,4,
New Hampshire,10/30/16,University of Massachusetts Lowell,B,695,lv,44,44,NH,9,
Arizona,10/30/16,The Times-Picayune/Lucid,,1113,lv,41,42,AZ,9,
Ohio,11/1/16,TargetSmart/William & Mary,,844,lv,40,43,OH,7,
Colorado,11/1/16,Trafalgar Group,C,1150,lv,44.77,44.33,CO,7,
Indiana,11/2/16,Public Opinion Strategies,B,600,lv,37,48,IN,6,
Alabama,11/4/16,SurveyMonkey,C-,1131,lv,36,55,AL,4,
Ohio,10/29/16,Quinnipiac University,A-,589,lv,41,46,OH,10,
Virginia,10/29/16,Emerson College,B,800,lv,49,45,VA,10,
Pennsylvania,10/31/16,"Susquehanna Polling & Research, Inc.",B-,681,lv,45,43,PA,8,
Colorado,10/29/16,Emerson College,B,750,lv,44,41,CO,10,
New Hampshire,10/22/16,Marist College,A,768,lv,45,36,NH,17,
New Jersey,10/30/16,Stockton College,B,678,lv,51,40,NJ,9,
Nebraska,11/4/16,SurveyMonkey,C-,988,lv,35,52,NE,4,
Louisiana,11/4/16,SurveyMonkey,C-,982,lv,38,52,LA,4,
Maine,10/29/16,Emerson College,B,750,lv,46,42,ME,10,
Iowa,10/23/16,Quinnipiac University,A-,791,lv,44,44,IA,16,
Colorado,10/30/16,The Times-Picayune/Lucid,,972,lv,44,37,CO,9,
Virginia,10/26/16,Winthrop University,,712,lv,44,39,VA,13,
Pennsylvania,10/28/16,Franklin & Marshall College,B+,652,lv,49,38,PA,11,
Arizona,10/29/16,Emerson College,B,700,lv,43,47,AZ,10,
Minnesota,10/24/16,SurveyUSA,A,656,lv,49,39,MN,15,
Arkansas,11/4/16,SurveyMonkey,C-,930,lv,32,56,AR,4,
Texas,10/28/16,Dixie Strategies,C+,980,lv,39.39,51.53,TX,11,
Alaska,11/4/16,Gravis Marketing,B-,617,rv,41,44,AK,4,
Virginia,10/23/16,Quinnipiac University,A-,749,lv,50,38,VA,16,
Nevada,10/30/16,The Times-Picayune/Lucid,,892,lv,45,38,NV,9,
Nevada,10/22/16,Marist College,A,707,lv,43,43,NV,17,
Texas,10/21/16,YouGov,B,1031,lv,43,46,TX,18,
Florida,10/22/16,University of North Florida,B+,819,lv,43,39,FL,17,
Arizona,11/5/16,Data Orbital,,550,lv,44,47,AZ,3,
Kentucky,10/27/16,Cygnal Political,,811,lv,32,56,KY,12,
Florida,10/25/16,Public Policy Polling,B+,742,lv,48,44,FL,14,
New Hampshire,10/30/16,MassINC Polling Group,A-,500,lv,39,40,NH,9,
Utah,10/31/16,Monmouth University,A+,402,lv,31,37,UT,8,
Georgia,10/29/16,Emerson College,B,650,lv,42,51,GA,10,
North Carolina,10/29/16,Trafalgar Group,C,1150,lv,44.16,49.13,NC,10,
Pennsylvania,11/1/16,Muhlenberg College,A,405,lv,44,40,PA,7,
Georgia,10/26/16,SurveyUSA,A,683,rv,42,49,GA,13,
Vermont,10/25/16,"Political Marketing International, Inc./Red Racing Horses",B-,1052,lv,52,26,VT,14,
South Carolina,10/30/16,Starboard Communications,,600,lv,36,47,SC,9,
Maine,11/4/16,SurveyMonkey,C-,779,lv,46,38,ME,4,
New Hampshire,11/1/16,Suffolk University,B+,500,lv,41.8,42.2,NH,7,
Pennsylvania,11/2/16,Harper Polling,B-,504,lv,46,46,PA,6,
Michigan,11/6/16,Mitchell Research & Communications,D,1011,lv,47,41,MI,2,
Idaho,10/22/16,Emerson College,B,1023,lv,23,52,ID,17,
North Carolina,10/25/16,Elon University,B+,710,lv,42,41.2,NC,14,
New Mexico,11/4/16,SurveyMonkey,C-,749,lv,40,38,NM,4,
Michigan,11/3/16,Strategic National,,573,lv,44,44,MI,5,
Pennsylvania,10/30/16,Monmouth University,A+,403,lv,48,44,PA,9,
Utah,10/30/16,Rasmussen Reports/Pulse Opinion Research,C+,750,lv,31,42,UT,9,
New Hampshire,11/4/16,Rasmussen Reports/Pulse Opinion Research,C+,525,lv,46,40,NH,4,
North Carolina,11/4/16,Rasmussen Reports/Pulse Opinion Research,C+,525,lv,49,43,NC,4,
Pennsylvania,11/4/16,Rasmussen Reports/Pulse Opinion Research,C+,525,lv,44,46,PA,4,
Ohio,11/4/16,Rasmussen Reports/Pulse Opinion Research,C+,525,lv,44,43,OH,4,
Nevada,11/4/16,Rasmussen Reports/Pulse Opinion Research,C+,525,lv,44,44,NV,4,
Georgia,10/23/16,Quinnipiac University,A-,707,lv,43,44,GA,16,
Mississippi,11/4/16,SurveyMonkey,C-,719,lv,42,50,MS,4,
Florida,11/4/16,Rasmussen Reports/Pulse Opinion Research,C+,525,lv,47,45,FL,4,
Georgia,10/18/16,Time/Abt SRBI,A-,839,lv,42,44,GA,21,
New Hampshire,11/4/16,SurveyMonkey,C-,696,lv,47,38,NH,4,
Missouri,10/29/16,Monmouth University,A+,405,lv,38,52,MO,10,
Iowa,11/2/16,Loras College,B-,500,lv,44.2,43.4,IA,6,
Maine,10/22/16,University of New Hampshire,B+,670,lv,48,37,ME,17,
New Hampshire,11/1/16,American Research Group,C+,600,lv,43,48,NH,7,
Virginia,10/30/16,Roanoke College,C+,654,lv,45,38,VA,9,
Missouri,10/25/16,"Mason-Dixon Polling & Research, Inc.",B+,625,lv,42,47,MO,14,
North Carolina,10/26/16,Emerson College,B,650,lv,48,45,NC,13,
Colorado,10/30/16,University of Denver,,550,lv,39,39,CO,9,
Indiana,10/28/16,Monmouth University,A+,402,lv,39,50,IN,11,
Idaho,11/4/16,SurveyMonkey,C-,612,lv,29,47,ID,4,
Wisconsin,10/31/16,Loras College,B-,500,lv,43.9,37.9,WI,8,
Utah,11/2/16,Y2 Analytics,C+,500,lv,24,33,UT,6,
Florida,10/24/16,Saint Leo University,C+,1028,lv,50.4,36.95,FL,15,
Missouri,10/29/16,DFM Research,B-,508,lv,38,47,MO,10,
Kentucky,10/27/16,Google Consumer Surveys,B,1004,a,24.8,38.2,KY,12,
Florida,10/27/16,TargetSmart/William & Mary,,718,lv,48,40,FL,12,
Illinois,10/17/16,Victory Research,,1200,lv,51.2,36.1,IL,22,
Washington,11/5/16,Insights West,,402,lv,51,36,WA,3,
California,11/5/16,Insights West,,401,lv,58,35,CA,3,
Georgia,11/2/16,Opinion Savvy/InsiderAdvantage,C-,538,lv,44.7,48.5,GA,6,
Arizona,11/5/16,Insights West,,392,lv,45,47,AZ,3,
Colorado,11/1/16,Magellan Strategies,C,500,lv,44.1,37.6,CO,7,
Illinois,10/28/16,Emerson College,B,500,lv,53,41,IL,11,
Arkansas,10/21/16,University of Arkansas,A-,585,lv,31.3,51.1,AR,18,
Ohio,10/25/16,Trafalgar Group,C,1150,lv,44.15,48.54,OH,14,
Nevada,10/30/16,JMC Enterprises,C,600,lv,45,45,NV,9,
Nevada,10/21/16,Bendixen & Amandi International,,800,lv,48,41,NV,18,
Illinois,10/26/16,Loras College,B-,600,lv,45,34,IL,13,
New Mexico,10/30/16,The Times-Picayune/Lucid,,567,lv,39,31,NM,9,
Nevada,11/5/16,Insights West,,373,lv,42,42,NV,3,
Oregon,10/27/16,"Davis, Hibbitts & Midghall, Inc.",B,504,lv,41,34,OR,12,
Florida,10/19/16,Associated Industries of Florida,,1000,lv,44,41,FL,20,
Kentucky,10/27/16,Western Kentucky University,C+,602,lv,37,54,KY,12,
Florida,10/25/16,Dixie Strategies,C+,698,lv,42.4,45.7,FL,14,
Minnesota,10/21/16,"Mason-Dixon Polling & Research, Inc.",B+,625,lv,47,39,MN,18,
Texas,10/23/16,Crosswind Media & Public Relations,C+,800,lv,38,45,TX,16,
Utah,10/23/16,Dan Jones & Associates,C+,823,lv,24,32,UT,16,
Massachusetts,10/28/16,Western New England University,A-,417,lv,56,26,MA,11,
West Virginia,11/4/16,SurveyMonkey,C-,472,lv,29,56,WV,4,
South Dakota,10/20/16,Remington,,1115,lv,37,48,SD,19,
Pennsylvania,10/25/16,Emerson College,B,550,lv,48,43,PA,14,
South Dakota,11/4/16,SurveyMonkey,C-,459,lv,32,53,SD,4,
Vermont,11/4/16,SurveyMonkey,C-,454,lv,61,25,VT,4,
Washington,10/21/16,Elway Research,A+,502,lv,48,31,WA,18,
Montana,11/4/16,SurveyMonkey,C-,449,lv,30,52,MT,4,
Idaho,10/23/16,Rasmussen Reports/Pulse Opinion Research,C+,750,lv,29,48,ID,16,
Massachusetts,10/25/16,Suffolk University,B+,500,lv,57,25,MA,14,
New Hampshire,10/19/16,YouGov,B,772,lv,43,38,NH,20,
Florida,10/26/16,Emerson College,B,500,lv,46,45,FL,13,
Maine,10/25/16,Maine People's Resource Center,C,812,lv,42,37,ME,14,
Hawaii,11/4/16,SurveyMonkey,C-,426,lv,52,28,HI,4,
North Carolina,10/21/16,Siena College,A,792,lv,46,39,NC,18,
Montana,10/11/16,"Mason-Dixon Polling & Research, Inc.",B+,1003,lv,36,46,MT,28,
Maine CD-1,10/29/16,Emerson College,B,375,lv,48.8,42.5,ME,10,
Maine CD-2,10/29/16,Emerson College,B,375,lv,43.6,42.2,ME,10,
Rhode Island,11/4/16,SurveyMonkey,C-,415,lv,48,36,RI,4,
Pennsylvania,10/9/16,Selzer & Company,A+,806,lv,48,39,PA,30,
Nebraska CD-3,9/25/16,Emerson College,B,700,lv,20,65,NE,44,
Nebraska CD-1,9/25/16,Emerson College,B,700,lv,29,53,NE,44,
New Hampshire,10/23/16,Monmouth University,A+,401,lv,46,42,NH,16,
Alaska,11/4/16,SurveyMonkey,C-,409,lv,31,48,AK,4,
Michigan,10/25/16,Emerson College,B,500,lv,50,43,MI,14,
Maine CD-2,10/10/16,Clarity Campaign Labs,B,932,lv,39,39,ME,29,
Louisiana,10/18/16,"Mason-Dixon Polling & Research, Inc.",B+,625,lv,34,54,LA,21,
Alaska,10/26/16,Google Consumer Surveys,B,446,lv,38,39,AK,13,
North Carolina,10/12/16,CNN/Opinion Research Corp.,A-,788,lv,48,47,NC,27,
Arizona,10/22/16,Monmouth University,A+,401,lv,45,46,AZ,17,
Florida,10/29/16,Quinnipiac University,A-,626,lv,46,45,FL,10,
Ohio,10/12/16,CNN/Opinion Research Corp.,A-,774,lv,44,48,OH,27,
Nevada,10/13/16,YouGov,B,996,lv,46,40,NV,26,
North Carolina,10/29/16,Quinnipiac University,A-,602,lv,47,44,NC,10,
Delaware,11/4/16,SurveyMonkey,C-,367,lv,50,39,DE,4,
Idaho,10/26/16,Google Consumer Surveys,B,417,lv,29,41,ID,13,
Wisconsin,10/27/16,Emerson College,B,400,lv,48,42,WI,12,
Ohio,10/11/16,Marist College,A,724,lv,41,42,OH,28,
North Carolina,10/21/16,Monmouth University,A+,402,lv,47,46,NC,18,
Wisconsin,10/14/16,St. Norbert College,A-,664,lv,47,39,WI,25,
North Carolina,10/17/16,The Times-Picayune/Lucid,,924,lv,42,41,NC,22,
Indiana,10/31/16,Gravis Marketing,B-,399,rv,39,49,IN,8,
Colorado,10/13/16,Quinnipiac University,A-,685,lv,45,37,CO,26,
Florida,11/3/16,Ipsos,A-,888,lv,47.66,46.77,FL,5,
Vermont,10/20/16,Braun Research,C+,603,lv,50,22,VT,19,
Texas,10/11/16,University of Houston,B,1000,lv,38,41,TX,28,
California,11/4/16,Google Consumer Surveys,B,1616,lv,47.88,26.4,CA,4,
Texas,10/11/16,SurveyUSA,A,638,lv,43,47,TX,28,
Florida,10/17/16,The Times-Picayune/Lucid,,892,lv,45,39,FL,22,
Virginia,10/17/16,The Times-Picayune/Lucid,,802,lv,43,38,VA,22,
North Dakota,11/4/16,SurveyMonkey,C-,313,lv,29,57,ND,4,
District of Columbia,11/4/16,SurveyMonkey,C-,310,lv,85,7,DC,4,
North Carolina,10/15/16,"National Research, Inc.",B+,600,lv,44,42,NC,24,
Oregon,10/11/16,SurveyUSA,A,654,lv,48,38,OR,28,
Florida,11/4/16,Google Consumer Surveys,B,1350,lv,36.53,41.36,FL,4,
Nevada,10/10/16,Clarity Campaign Labs,B,1010,lv,43,43,NV,29,
New York,11/4/16,Google Consumer Surveys,B,1308,lv,39.83,33.29,NY,4,
Illinois,11/4/16,Google Consumer Surveys,B,1256,lv,38.27,31.55,IL,4,
Maine CD-2,10/22/16,University of New Hampshire,B+,341,lv,43,40,ME,17,
Oklahoma,10/19/16,SoonerPoll.com,B,530,lv,29.6,59.6,OK,20,
California,11/3/16,Ipsos,A-,726,lv,58.85,31.74,CA,5,
Texas,11/4/16,Google Consumer Surveys,B,1155,lv,32.29,42.48,TX,4,
Pennsylvania,11/4/16,Google Consumer Surveys,B,1177,lv,37.69,37.29,PA,4,
New Hampshire,10/27/16,Praecones Analytica,,408,lv,42.9,44.6,NH,12,
Georgia,10/17/16,The Times-Picayune/Lucid,,807,lv,44,40,GA,22,
Maine CD-1,10/25/16,Maine People's Resource Center,C,429,lv,44.9,33.4,ME,14,
Ohio,11/4/16,Google Consumer Surveys,B,1070,lv,35.03,38.18,OH,4,
Maine CD-1,10/22/16,University of New Hampshire,B+,329,lv,54,34,ME,17,
Pennsylvania,10/23/16,Muhlenberg College,A,420,lv,45,39,PA,16,
New Jersey,11/4/16,Google Consumer Surveys,B,1012,lv,39.37,32.57,NJ,4,
Texas,11/3/16,Ipsos,A-,646,lv,39.3,48.75,TX,5,
South Dakota,10/25/16,Nielson Brothers Polling,C-,600,lv,35,49,SD,14,
Pennsylvania,10/27/16,YouGov,B,1091,lv,48,40,PA,12,
Nebraska CD-2,10/23/16,"North Star Opinion Research/Ayres, McHenry & Associates",B-,400,rv,40,44,NE,16,
Wisconsin,11/4/16,Google Consumer Surveys,B,914,lv,43.17,31.05,WI,4,
Georgia,11/3/16,Landmark Communications,B,1000,lv,46,48,GA,5,
Louisiana,10/20/16,Southern Media & Opinion Research,B-,500,lv,35,50,LA,19,
Alaska,10/23/16,Craciun Research,,400,lv,47,43,AK,16,
Kansas,11/2/16,Fort Hays State University,C-,313,lv,34,58,KS,6,
California,10/14/16,SurveyUSA,A,725,lv,56,30,CA,25,
Ohio,10/18/16,Suffolk University,B+,500,lv,45,45,OH,21,
Michigan,11/4/16,Google Consumer Surveys,B,821,lv,35.18,34.05,MI,4,
New Jersey,11/3/16,Ipsos,A-,551,lv,47.78,37.86,NJ,5,
North Carolina,11/4/16,Google Consumer Surveys,B,794,lv,35.03,40.65,NC,4,
Indiana,11/4/16,Google Consumer Surveys,B,774,lv,33.93,36.45,IN,4,
Ohio,11/3/16,Ipsos,A-,552,lv,47.04,46,OH,5,
New York,11/3/16,Ipsos,A-,552,lv,51.49,33,NY,5,
Virginia,11/4/16,Google Consumer Surveys,B,765,lv,39.32,31.71,VA,4,
Colorado,10/20/16,University of Colorado,,1004,a,44,34,CO,19,
Florida,10/22/16,Florida Atlantic University,C+,500,lv,46.2,43.3,FL,17,
North Carolina,10/15/16,SurveyUSA,A,651,lv,46,44,NC,24,
Virginia,11/3/16,Ipsos,A-,534,lv,45.9,41.11,VA,5,
Maine CD-2,10/25/16,Maine People's Resource Center,C,382,lv,38,41.4,ME,14,
Massachusetts,10/14/16,MassINC Polling Group,A-,502,lv,54,28,MA,25,
Wisconsin,10/16/16,Monmouth University,A+,403,lv,47,40,WI,23,
Missouri,11/4/16,Google Consumer Surveys,B,717,lv,37.3,35.44,MO,4,
Michigan,10/23/16,EPIC-MRA,A-,600,lv,41,34,MI,16,
Minnesota,11/4/16,Google Consumer Surveys,B,695,lv,35.35,31.38,MN,4,
Pennsylvania,10/8/16,The Times-Picayune/Lucid,,1457,lv,47,38,PA,31,
Louisiana,10/18/16,The Times-Picayune/Lucid,,614,lv,40,43,LA,21,
Arizona,11/4/16,Google Consumer Surveys,B,696,lv,40.95,35.97,AZ,4,
Washington,11/4/16,Google Consumer Surveys,B,682,lv,42.67,30.43,WA,4,
Nevada,10/15/16,Monmouth University,A+,413,lv,47,40,NV,24,
Pennsylvania,11/3/16,Ipsos,A-,498,lv,48.2,45.19,PA,5,
Colorado,11/4/16,Google Consumer Surveys,B,666,lv,47.11,29.95,CO,4,
Michigan,10/17/16,Marketing Resource Group (MRG),C+,600,lv,41,36,MI,22,
Illinois,11/3/16,Ipsos,A-,482,lv,51.3,39.08,IL,5,
Arkansas,10/21/16,Hendrix College,C+,463,lv,32.5,56,AR,18,
North Carolina,9/30/16,Selzer & Company,A+,805,lv,44,43,NC,39,
South Dakota,10/19/16,"Mason-Dixon Polling & Research, Inc.",B+,400,lv,37,44,SD,20,
Georgia,11/4/16,Google Consumer Surveys,B,614,lv,37.71,41.45,GA,4,
Minnesota,10/30/16,Ipsos,A-,647,lv,43.9,36,MN,9,
Pennsylvania,10/4/16,Marist College,A,709,lv,49,37,PA,35,
Ohio,10/8/16,The Times-Picayune/Lucid,,1304,lv,44,39,OH,31,
New York,10/15/16,Siena College,A,611,lv,54,30,NY,24,
Wisconsin,10/6/16,YouGov,B,993,lv,43,39,WI,33,
Washington,10/9/16,YouGov,B,750,lv,53,39,WA,30,
Ohio,10/10/16,Baldwin Wallace University,,1152,lv,43.2,34.4,OH,29,
Massachusetts,11/4/16,Google Consumer Surveys,B,562,lv,47.84,25.89,MA,4,
Wisconsin,10/30/16,Ipsos,A-,625,lv,45.92,39.99,WI,9,
Indiana,10/8/16,The Times-Picayune/Lucid,,1123,lv,37,43,IN,31,
Arizona,10/30/16,Ipsos,A-,593,lv,42.38,47.1,AZ,9,
Georgia,11/3/16,Ipsos,A-,416,lv,42.38,47.79,GA,5,
Virginia,10/28/16,Hampton University,B,802,lv,41,44,VA,11,
Louisiana,10/18/16,University of New Orleans,C,603,lv,35,49,LA,21,
Maryland,11/4/16,Google Consumer Surveys,B,498,lv,44.82,31.28,MD,4,
Washington,10/30/16,Ipsos,A-,562,lv,46.72,38.48,WA,9,
Oregon,11/4/16,Google Consumer Surveys,B,502,lv,44.95,26.36,OR,4,
