"","state","Pollster","Obama","McCain","middate","days.until"
"170","CT","Quinnipiac U.-6",52,35,"3/21/08",228
"171","CT","Rasmussen-1",50,38,"3/11/08",238
"172","CT","SurveyUSA-3",55,34,"2/27/08",251
"173","CT","Election 2004-1",54,44,"1/1/08",308
"174","DC","ARG-3",82,13,"9/12/08",53
"175","DC","Election 2004-1",90,9,"1/1/08",308
"176","DE","SurveyUSA-2",63,33,"10/27/08",8
"177","DE","Rasmussen-1",56,41,"10/10/08",25
"178","DE","West Chester U.-3",56,38,"10/7/08",28
"179","DE","SurveyUSA-2",57,37,"9/22/08",43
"180","DE","Fairleigh Dickinson U.-5",56,36,"9/19/08",46
"181","DE","ARG-3",51,40,"9/14/08",51
"182","DE","Rasmussen-1",55,43,"9/13/08",52
"183","DE","SurveyUSA-3",50,41,"2/27/08",251
"184","DE","Election 2004-1",53,46,"1/1/08",308
"185","FL","Zogby-4",48,46,"10/31/08",4
"186","FL","ARG-3",50,46,"10/30/08",5
"187","FL","Mason-Dixon-2",47,45,"10/29/08",6
"188","FL","Datamar-2",47,47,"10/29/08",6
"189","FL","Rasmussen-1",51,47,"10/26/08",9
"190","FL","LA Times-3",50,43,"10/26/08",9
"191","FL","Datamar-2",49,44,"10/25/08",10
"192","FL","Opinion Research-6",51,47,"10/25/08",10
"193","FL","Financial Dynamics-5",45,44,"10/25/08",10
"194","FL","Zogby-4",47,47,"10/24/08",11
"195","FL","Suffolk U.-4",49,44,"10/24/08",11
"196","FL","GfK Roper-5",45,43,"10/24/08",11
"197","FL","Quinnipiac U.-5",47,45,"10/24/08",11
"198","FL","Insider Advantage-1",48,47,"10/22/08",13
"199","FL","Polling Company-3",49,42,"10/21/08",14
"200","FL","Mason-Dixon-2",45,46,"10/20/08",15
"201","FL","Rasmussen-1",48,49,"10/19/08",16
"202","FL","Quinnipiac U.-6",49,44,"10/18/08",17
"203","FL","SurveyUSA-2",47,49,"10/16/08",19
"204","FL","Research 2000-3",49,45,"10/14/08",21
"205","FL","Insider Advantage-1",48,44,"10/13/08",22
"206","FL","Datamar-2",47,42,"10/12/08",23
"207","FL","Opinion Research-4",51,46,"10/12/08",23
"208","FL","Rasmussen-1",51,46,"10/12/08",23
"209","FL","Rasmussen-1",50,47,"10/8/08",27
"210","FL","Research 2000-3",49,44,"10/7/08",28
"211","FL","Rasmussen-1",52,45,"10/5/08",30
"212","FL","Mason-Dixon-3",48,46,"10/5/08",30
"213","FL","Insider Advantage-1",49,46,"9/30/08",35
"214","FL","Opinion Research-3",51,47,"9/29/08",36
"215","FL","Suffolk U.-4",46,42,"9/28/08",37
"216","FL","Rasmussen-1",47,47,"9/28/08",37
"217","FL","Quinnipiac U.-3",51,43,"9/28/08",37
"218","FL","SurveyUSA-2",47,48,"9/27/08",38
"219","FL","Rasmussen-1",47,48,"9/24/08",41
"220","FL","ARG-3",47,46,"9/24/08",41
"221","FL","Rasmussen-1",46,51,"9/21/08",44
"222","FL","Mason-Dixon-3",47,45,"9/17/08",48
"223","FL","SurveyUSA-2",45,51,"9/16/08",49
"224","FL","Research 2000-4",45,46,"9/16/08",49
"225","FL","Schroth/Polling Co.-4",45,47,"9/15/08",50
"226","FL","ARG-4",46,46,"9/15/08",50
"227","FL","Opinion Research-3",48,48,"9/15/08",50
"228","FL","Rasmussen-1",44,49,"9/14/08",51
"229","FL","Financial Dynamics-5",44,44,"9/13/08",52
"230","FL","Research 2000-7",45,46,"9/12/08",53
"231","FL","Insider Advantage-2",42,50,"9/9/08",56
"232","FL","Rasmussen-1",48,48,"9/7/08",58
"233","FL","Quinnipiac U.-5",43,50,"9/7/08",58
"234","FL","Mason-Dixon-2",45,44,"8/25/08",71
"235","FL","Quinnipiac U.-8",43,47,"8/20/08",76
"236","FL","ARG-3",46,47,"8/19/08",77
"237","FL","Rasmussen-1",43,46,"8/18/08",78
"238","FL","Insider Advantage-1",44,48,"8/11/08",85
"239","FL","SurveyUSA-3",44,50,"8/2/08",94
"240","FL","Quinnipiac U.-7",46,44,"7/26/08",101
"241","FL","Rasmussen-1",46,45,"7/22/08",105
"242","FL","ARG-3",45,47,"7/20/08",107
"243","FL","Rasmussen-1",41,48,"6/26/08",131
"244","FL","Rasmussen-1",39,47,"6/18/08",139
"245","FL","ARG-5",49,44,"6/15/08",142
"246","FL","Quinnipiac U.-8",47,43,"6/12/08",145
"247","FL","Rasmussen-1",40,50,"5/19/08",169
"248","FL","Quinnipiac U.-8",41,45,"5/16/08",172
"249","FL","Quinnipiac U.-7",43,44,"4/26/08",192
"250","FL","Rasmussen-1",38,53,"4/10/08",208
"251","FL","Quinnipiac U.-8",37,46,"3/27/08",222
"252","FL","Rasmussen-1",43,47,"3/12/08",237
"253","FL","SurveyUSA-3",45,47,"2/27/08",251
"254","FL","Rasmussen-1",37,53,"2/16/08",262
"255","FL","Election 2004-1",47,52,"1/1/08",308
"256","GA","Rasmussen-1",47,52,"10/30/08",5
"257","GA","Research 2000-3",44,47,"10/29/08",6
"258","GA","Insider Advantage-1",47,48,"10/27/08",8
"259","GA","Opinion Research-6",47,52,"10/25/08",10
"260","GA","Insider Advantage-1",48,47,"10/23/08",12
"261","GA","Mason-Dixon-2",43,49,"10/22/08",13
"262","GA","Rasmussen-1",46,51,"10/22/08",13
"263","GA","Research 2000-2",43,49,"10/14/08",21
"264","GA","Opinion Research-4",45,53,"10/12/08",23
"265","GA","SurveyUSA-2",43,51,"10/11/08",24
"266","GA","Insider Advantage-1",46,49,"10/9/08",26
"267","GA","Rasmussen-1",45,54,"10/7/08",28
"268","GA","Insider Advantage-1",44,50,"9/30/08",35
"269","GA","Research 2000-3",43,50,"9/30/08",35
"270","GA","SurveyUSA-2",44,52,"9/28/08",37
"271","GA","ARG-4",39,57,"9/19/08",46
"272","GA","Insider Advantage-1",43,51,"9/17/08",48
"273","GA","Rasmussen-1",43,54,"9/16/08",49
"274","GA","SurveyUSA-3",41,57,"9/15/08",50
"275","GA","Insider Advantage-1",38,56,"9/10/08",55
"276","GA","Rasmussen-1",43,50,"8/14/08",82
"277","GA","Rasmussen-1",39,48,"7/17/08",110
"278","GA","Insider Advantage-1",44,46,"7/2/08",125
"279","GA","Rasmussen-1",43,53,"6/26/08",131
"280","GA","Insider Advantage-1",43,44,"6/18/08",139
"281","GA","Rasmussen-1",41,51,"6/4/08",153
"282","GA","Rasmussen-1",39,53,"5/6/08",182
"283","GA","Rasmussen-1",40,53,"3/20/08",229
"284","GA","SurveyUSA-3",41,54,"2/27/08",251
"285","GA","Election 2004-1",41,58,"1/1/08",308
"286","HI","Rasmussen-1",68,27,"9/20/08",45
"287","HI","ARG-6",63,32,"9/9/08",56
"288","HI","SurveyUSA-3",61,31,"2/27/08",251
"289","HI","Election 2004-1",54,45,"1/1/08",308
"290","ID","Research 2000-2",33,62,"9/16/08",49
"291","ID","Rasmussen-1",29,68,"9/9/08",56
"292","ID","ARG-3",25,68,"9/9/08",56
"293","ID","Greg Smith-5",29,52,"8/20/08",76
"294","ID","Research 2000-3",37,53,"7/29/08",98
"295","ID","SurveyUSA-3",39,52,"2/27/08",251
"296","ID","Election 2004-1",30,69,"1/1/08",308
"297","IL","Rasmussen-1",60,38,"11/1/08",3
"298","IL","Research 2000-4",59,35,"10/21/08",14
"299","IL","U. of Wisconsin-4",61,32,"10/20/08",15
"300","IL","Market Shares-3",56,32,"10/17/08",18
"301","IL","Rasmussen-1",56,39,"10/13/08",22
"302","IL","Rasmussen-1",56,40,"9/17/08",48
"303","IL","Research 2000-4",56,36,"9/16/08",49
"304","IL","U. of Wisconsin-4",53,37,"9/15/08",50
"305","IL","ARG-4",51,45,"9/14/08",51
"306","IL","Rasmussen-1",53,38,"8/12/08",84
"307","IL","Rasmussen-1",50,37,"7/8/08",119
"308","IL","SurveyUSA-3",60,31,"2/27/08",251
"309","IL","Election 2004-1",55,45,"1/1/08",308
"310","IN","Zogby-4",44,49,"10/31/08",4
"311","IN","ARG-4",48,48,"10/29/08",6
"312","IN","Rasmussen-2",46,49,"10/28/08",7
"313","IN","SurveyUSA-4",47,47,"10/28/08",7
"314","IN","Selzer-3",46,45,"10/27/08",8
"315","IN","Zogby-4",44,50,"10/24/08",11
"316","IN","Research 2000-3",48,47,"10/24/08",11
"317","IN","Howey-Gauge-2",45,47,"10/23/08",12
"318","IN","SurveyUSA-2",49,45,"10/21/08",14
"319","IN","U. of Wisconsin-4",51,41,"10/20/08",15
"320","IN","Rasmussen-1",43,50,"10/7/08",28
"321","IN","Opinion Research-4",46,51,"10/4/08",31
"322","IN","Research 2000-5",46,46,"10/1/08",34
"323","IN","Research 2000-3",45,46,"9/29/08",36
"324","IN","SurveyUSA-2",45,48,"9/28/08",37
"325","IN","Rasmussen-2",47,49,"9/17/08",48
"326","IN","ARG-4",44,47,"9/16/08",49
"327","IN","U. of Wisconsin-4",43,47,"9/15/08",50
"328","IN","Opinion Research-3",45,51,"9/15/08",50
"329","IN","Selzer-3",47,44,"9/15/08",50
"330","IN","Howey-Gauge-2",43,45,"8/29/08",67
"331","IN","Rasmussen-3",42,46,"8/20/08",76
"332","IN","SurveyUSA-3",44,50,"8/17/08",79
"333","IN","SurveyUSA-3",48,47,"6/22/08",135
"334","IN","Ind. Legis. Insight-6",38,47,"5/29/08",159
"335","IN","Research 2000-4",43,51,"4/22/08",196
"336","IN","Selzer-4",49,41,"4/21/08",197
"337","IN","IPFW U.-3",44,51,"4/15/08",203
"338","IN","SurveyUSA-3",41,50,"2/27/08",251
"339","IN","SurveyUSA-2",40,50,"2/3/08",275
"340","IN","Election 2004-1",39,60,"1/1/08",308
"341","IA","Selzer-4",54,37,"10/29/08",6
"342","IA","SurveyUSA-2",55,40,"10/28/08",7
"343","IA","Research 2000-3",53,39,"10/28/08",7
"344","IA","Marist Coll.-2",52,42,"10/23/08",12
"345","IA","Rasmussen-1",52,44,"10/23/08",12
"346","IA","Mason-Dixon-2",51,40,"10/22/08",13
"347","IA","U. of Wisconsin-4",52,39,"10/20/08",15
"348","IA","Research 2000-4",54,39,"10/20/08",15
"349","IA","SurveyUSA-2",54,41,"10/8/08",27
"350","IA","Research 2000-2",55,39,"9/29/08",36
"351","IA","Rasmussen-1",51,43,"9/25/08",40
"352","IA","Marist Coll.-4",51,41,"9/19/08",46
"353","IA","ARG-4",51,44,"9/18/08",47
"354","IA","SurveyUSA-2",54,43,"9/17/08",48
"355","IA","Research 2000-3",53,39,"9/16/08",49
"356","IA","U. of Wisconsin-4",45,45,"9/15/08",50
"357","IA","Selzer-3",52,40,"9/9/08",56
"358","IA","Opinion Research-3",55,40,"9/1/08",64
"359","IA","U. of Iowa-10",50,43,"8/8/08",88
"360","IA","Rasmussen-1",46,41,"8/7/08",89
"361","IA","Rasmussen-1",51,41,"7/10/08",117
"362","IA","SurveyUSA-4",49,45,"6/14/08",143
"363","IA","Rasmussen-1",45,38,"6/10/08",147
"364","IA","SurveyUSA-2",47,38,"5/21/08",167
"365","IA","Rasmussen-1",44,42,"5/13/08",175
"366","IA","Research 2000-3",49,41,"4/22/08",196
"367","IA","SurveyUSA-3",49,42,"4/12/08",206
"368","IA","Rasmussen-1",46,42,"3/31/08",218
"369","IA","SurveyUSA-3",50,44,"3/15/08",234
"370","IA","SurveyUSA-3",50,41,"2/27/08",251
"371","IA","Rasmussen-1",44,41,"2/18/08",260
"372","IA","SurveyUSA-3",51,41,"2/16/08",262
"373","IA","Election 2004-1",49,50,"1/1/08",308
"374","KS","SurveyUSA-2",37,58,"10/27/08",8
"375","KS","SurveyUSA-2",41,53,"10/21/08",14
"376","KS","Rasmussen-1",41,54,"10/13/08",22
"377","KS","SurveyUSA-2",41,53,"9/21/08",44
"378","KS","Rasmussen-1",38,58,"9/18/08",47
"379","KS","ARG-4",31,63,"9/8/08",57
"380","KS","SurveyUSA-3",35,58,"8/19/08",77
"381","KS","Rasmussen-1",37,52,"8/11/08",85
"382","KS","Rasmussen-1",32,52,"7/14/08",113
"383","KS","Rasmussen-1",37,47,"6/11/08",146
"384","KS","Research 2000-3",40,51,"6/3/08",154
"385","KS","SurveyUSA-3",39,49,"5/17/08",171
"386","KS","Rasmussen-1",34,55,"5/13/08",175
"387","KS","SurveyUSA-3",37,54,"4/12/08",206
"388","KS","SurveyUSA-3",39,51,"3/15/08",234
"389","KS","SurveyUSA-3",41,50,"2/27/08",251
"390","KS","SurveyUSA-3",44,50,"2/16/08",262
"391","KS","Election 2004-1",37,62,"1/1/08",308
"392","KY","SurveyUSA-4",40,56,"10/30/08",5
"393","KY","Rasmussen-1",43,55,"10/29/08",6
"394","KY","Research 2000-3",39,56,"10/28/08",7
"395","KY","Mason-Dixon-3",42,51,"10/28/08",7
"396","KY","Rasmussen-1",44,52,"10/21/08",14
"397","KY","Research 2000-3",39,55,"10/20/08",15
"398","KY","SurveyUSA-3",41,54,"10/19/08",16
"399","KY","Research 2000-3",39,53,"10/15/08",20
"400","KY","Rasmussen-1",42,52,"9/30/08",35
"401","KY","Mason-Dixon-4",41,53,"9/23/08",42
"402","KY","SurveyUSA-2",38,57,"9/21/08",44
"403","KY","Research 2000-3",37,55,"9/16/08",49
"404","KY","ARG-5",37,57,"9/10/08",55
"405","KY","SurveyUSA-3",37,55,"8/10/08",86
"406","KY","Rasmussen-1",39,49,"7/29/08",98
"407","KY","Research 2000-3",35,56,"7/29/08",98
"408","KY","Rasmussen-10",39,49,"7/24/08",103
"409","KY","Rasmussen-1",35,51,"6/25/08",132
"410","KY","SurveyUSA-4",41,53,"6/14/08",143
"411","KY","SurveyUSA-3",32,56,"5/17/08",171
"412","KY","Research 2000-3",33,58,"5/8/08",180
"413","KY","SurveyUSA-3",29,63,"4/12/08",206
"414","KY","SurveyUSA-3",28,64,"3/15/08",234
"415","KY","SurveyUSA-3",33,54,"2/27/08",251
"416","KY","SurveyUSA-2",32,61,"2/3/08",275
"417","KY","Election 2004-1",40,60,"1/1/08",308
"418","LA","Loyola U.-3",40,43,"10/25/08",10
"419","LA","Southeastern La. U.-4",38,51,"10/21/08",14
"420","LA","Rasmussen-1",41,57,"10/21/08",14
"421","LA","Rasmussen-1",40,55,"9/25/08",40
"422","LA","ARG-4",43,50,"9/10/08",55
"423","LA","Rasmussen-1",38,55,"8/17/08",79
"424","LA","Rasmussen-1",37,56,"7/9/08",118
"425","LA","Opinion Res.-3",36,52,"6/27/08",130
"426","LA","Rasmussen-1",41,50,"5/28/08",160
"427","LA","Rasmussen-1",41,52,"4/9/08",209
"428","LA","Opinion Res.-15",35,51,"4/2/08",216
"429","LA","SurveyUSA-3",39,54,"2/27/08",251
"430","LA","Election 2004-1",42,57,"1/1/08",308
"431","ME","Rasmussen-1",56,43,"11/1/08",3
"432","ME","SurveyUSA-2",54,39,"10/19/08",16
"433","ME","Critical Insights-4",56,35,"10/17/08",18
"434","ME","Research 2000-2",53,38,"10/14/08",21
"435","ME","Pan Atlantic SMS-4",51,39,"10/14/08",21
"436","ME","Rasmussen-1",51,46,"10/2/08",33
"437","ME","SurveyUSA-2",49,44,"9/22/08",43
"438","ME","Rasmussen-1",50,46,"9/17/08",48
"439","ME","ARG-3",51,41,"9/9/08",56
"440","ME","Research 2000-3",52,38,"9/9/08",56
"441","ME","Rasmussen-1",49,36,"8/12/08",84
"442","ME","Rasmussen-1",46,36,"7/17/08",110
"443","ME","Rasmussen-1",55,33,"6/16/08",141
"444","ME","Pan Atlantic SMS-9",37,26,"6/14/08",143
"445","ME","Critical Insights-27",51,31,"6/14/08",143
"446","ME","Rasmussen-1",51,38,"5/14/08",174
"447","ME","Rasmussen-1",49,39,"4/1/08",217
"448","ME","SurveyUSA-3",53,39,"2/27/08",251
"449","ME","Election 2004-1",53,45,"1/1/08",308
"450","MD","Rasmussen-1",60,37,"9/20/08",45
"451","MD","ARG-3",54,39,"9/18/08",47
"452","MD","Gonzales Research-8",52,38,"9/1/08",64
"453","MD","Rasmussen-1",53,41,"8/18/08",78
"454","MD","SurveyUSA-3",53,40,"2/27/08",251
"455","MD","Gonzales Res.-8",51,37,"2/26/08",252
"456","MD","Election 2004-1",56,43,"1/1/08",308
"457","MA","SurveyUSA-2",56,39,"10/27/08",8
"458","MA","Suffolk U.-3",53,34,"10/21/08",14
"459","MA","SurveyUSA-2",59,35,"10/13/08",22
"460","MA","Rasmussen-1",62,34,"10/13/08",22
"461","MA","Rasmussen-1",58,38,"9/23/08",42
"462","MA","SurveyUSA-2",55,39,"9/22/08",43
"463","MA","ARG-3",55,39,"9/21/08",44
"464","MA","Rasmussen-1",51,36,"8/5/08",91
"465","MA","Suffolk U.-4",47,38,"8/1/08",95
"466","MA","Rasmussen-1",53,33,"6/30/08",127
"467","MA","SurveyUSA-3",53,40,"6/26/08",131
"468","MA","Suffolk U.-3",53,30,"6/9/08",148
"469","MA","Rasmussen-1",51,38,"5/29/08",159
"470","MA","SurveyUSA-3",46,41,"5/17/08",171
"471","MA","Rasmussen-1",51,39,"4/23/08",195
"472","MA","SurveyUSA-3",48,46,"4/12/08",206
"473","MA","Rasmussen-1",49,42,"3/18/08",231
"474","MA","SurveyUSA-3",47,47,"3/15/08",234
"475","MA","SurveyUSA-3",49,42,"2/27/08",251
"476","MA","SurveyUSA-3",48,46,"2/16/08",262
"477","MA","Election 2004-1",62,37,"1/1/08",308
"478","MI","Selzer-4",53,37,"10/29/08",6
"479","MI","Rasmussen-1",53,43,"10/28/08",7
"480","MI","EPIC-MRA-3",50,38,"10/27/08",8
"481","MI","EPIC-MRA-4",51,37,"10/20/08",15
"482","MI","U. of Wisconsin-4",58,36,"10/20/08",15
"483","MI","Quinnipiac U.-5",54,38,"10/10/08",25
"484","MI","Rasmussen-1",56,40,"10/8/08",27
"485","MI","Selzer-3",51,38,"9/23/08",42
"486","MI","Opinion Research-3",51,46,"9/22/08",43
"487","MI","Rasmussen-1",51,44,"9/21/08",44
"488","MI","EPIC-MRA-3",48,38,"9/21/08",44
"489","MI","Mason-Dixon-6",46,46,"9/20/08",45
"490","MI","Financial Dynamics-5",47,39,"9/20/08",45
